datetime,latitude,longitude,capacity_mw,plant_type,hour,day_of_year,wind_speed,wind_speed_10m,temperature,air_density,power_density,actual_power_mw,theoretical_power_mw
2024-01-01 00:00:00,26,118,50.0,风电,0.0,1,19.518027630615162,15.503720433126292,19.788794509956812,1.2258832108623092,4557.502199696387,48.65735190464524,50.0
2024-01-01 06:00:00,26,118,50.0,风电,6.0,1,7.423724367971211,5.896873872290204,25.12155485956481,1.2039657960983883,246.29163952469378,9.444676820544133,11.232626328529646
2024-01-01 12:00:00,26,118,50.0,风电,12.0,1,3.1682284008402735,2.5166132728427875,-4.730532167219232,1.3378640264040633,21.273131706134066,0.135740638042473,0.14114153362113074
2024-01-01 18:00:00,26,118,50.0,风电,18.0,1,8.115277801517227,6.446194290376326,-1.4637807128918956,1.3217775673064482,353.214525192044,14.261381544199704,14.916337599390728
2024-01-02 00:00:00,26,118,50.0,风电,0.0,2,12.244243783239233,9.725948549874177,28.89614827098208,1.188920143678919,1091.2357691853852,45.79137266450365,50.0
2024-01-02 06:00:00,26,118,50.0,风电,6.0,2,7.284999891049633,5.786681103424038,20.13901649006534,1.2244193604575855,236.6948677272566,9.73047229774078,10.570954049929805
2024-01-02 12:00:00,26,118,50.0,风电,12.0,2,5.62342659568748,4.466846520854012,-0.9093337360046139,1.319085627169923,117.28597546260562,4.671335278592215,4.433545176643047
2024-01-02 18:00:00,26,118,50.0,风电,18.0,2,5.396111901271838,4.286284040911945,11.407225137456084,1.2619913264424463,99.14463449934972,3.186647523666283,3.8249298637546336
2024-01-03 00:00:00,26,118,50.0,风电,0.0,3,12.236560754601202,9.719845703298795,28.771624881853462,1.1894104973120911,1089.6320875748988,47.60534809152951,50.0
2024-01-03 06:00:00,26,118,50.0,风电,6.0,3,6.90019547811869,5.481020093386488,18.023121918734525,1.233316961516201,202.59507853405856,8.202784381048415,8.863519133764903
2024-01-03 12:00:00,26,118,50.0,风电,12.0,3,4.350771413221809,3.4559405763533464,31.662270280876996,1.178130885837011,48.51347062725385,1.4041422263162209,1.6271803047119535
2024-01-03 18:00:00,26,118,50.0,风电,18.0,3,1.2160741794000391,0.9659620562166122,1.299241836206133,1.3084705484969765,1.176560213154547,0.0,0.0
2024-01-04 00:00:00,26,118,50.0,风电,0.0,4,5.972547212642486,4.744162884225734,20.825425871047596,1.2215604380398897,130.12589749006128,4.829942474275398,5.468802001030276
2024-01-04 06:00:00,26,118,50.0,风电,6.0,4,11.122961398393356,8.835282292492119,17.784849112134935,1.234327036090437,849.3008057196299,35.87941037213135,39.65713669646257
2024-01-04 12:00:00,26,118,50.0,风电,12.0,4,2.0036364049577418,1.5915449685793885,18.037812833169355,1.2332547386031731,4.959975589551279,0.0,0.0
2024-01-04 18:00:00,26,118,50.0,风电,18.0,4,4.034725600116484,3.204896463537394,24.753309072519897,1.2054540485570122,39.587919264410054,1.0993882450883137,1.1370176686566262
2024-01-05 00:00:00,26,118,50.0,风电,0.0,5,16.601569749806792,13.18709559301606,18.995122032521937,1.2292135754367435,2812.191009465261,46.97189661984971,50.0
2024-01-05 06:00:00,26,118,50.0,风电,6.0,5,1.2189856339970488,0.9682747068071349,-1.703383831212859,1.3229442866832573,1.1981393219812042,0.0,0.0
2024-01-05 12:00:00,26,118,50.0,风电,12.0,5,6.880594330062979,5.465450348052826,20.452286082604058,1.223112921876112,199.21150588425425,8.644032828281125,8.78145432279952
2024-01-05 18:00:00,26,118,50.0,风电,18.0,5,8.027890341313196,6.37677996337542,21.573759761514832,1.2184587706487742,315.1992223252954,13.583687655767154,14.414275018652283
2024-01-06 00:00:00,26,118,50.0,风电,0.0,6,7.548742415916934,5.996179237623606,14.146139845002693,1.249960233345775,268.83760617851624,11.746439533469403,11.850495429432764
2024-01-06 06:00:00,26,118,50.0,风电,6.0,6,14.094578389919006,11.195721571647368,-2.8635492722859768,1.328622833416705,1860.0644150905841,45.24719930274771,50.0
2024-01-06 12:00:00,26,118,50.0,风电,12.0,6,0.13201227626747677,0.10486107836947897,32.56885079772393,1.1746372494301995,0.001351190963030446,0.0,0.0
2024-01-06 18:00:00,26,118,50.0,风电,18.0,6,8.635578936925198,6.85948417278998,7.0918212700068395,1.2814245510273308,412.6077869057823,16.027002946096083,18.135889440633836
2024-01-07 00:00:00,26,118,50.0,风电,0.0,7,13.424342541496808,10.663334313321233,7.178003231005267,1.2810305993728182,1549.5606663216747,47.302823301177526,50.0
2024-01-07 06:00:00,26,118,50.0,风电,6.0,7,9.484349675012906,7.533686734860814,32.644845420761236,1.1743453343887502,500.94322038155536,21.136839841650684,24.28408733855456
