datetime,latitude,longitude,capacity_mw,plant_type,hour,day_of_year,month,irradiance,temperature,wind_speed,cloud_cover,actual_power_mw,theoretical_power_mw
2024-01-01 00:00:00,38,116,50.0,光伏,0.0,1,1,0.0,16.3447321376693,1.8628198512028706,0.2901343474857025,0.0,0.0
2024-01-01 06:00:00,38,116,50.0,光伏,6.0,1,1,0.0,10.95338269608328,2.9281051653550105,0.24058152964873175,0.0,0.0
2024-01-01 12:00:00,38,116,50.0,光伏,12.0,1,1,253.50844690926203,9.207606012234134,3.6450104167409134,0.519446756366378,9.852140979417221,12.675422345463103
2024-01-01 18:00:00,38,116,50.0,光伏,18.0,1,1,0.0,11.032042588508805,1.3394338281447538,0.1264968684045428,0.0,0.0
2024-01-02 00:00:00,38,116,50.0,光伏,0.0,2,1,0.0,11.68668176174596,1.201723632423729,0.15842836813830255,0.0,0.0
2024-01-02 06:00:00,38,116,50.0,光伏,6.0,2,1,0.0,13.508636084694407,4.205969588331101,0.27851013845202416,0.0,0.0
2024-01-02 12:00:00,38,116,50.0,光伏,12.0,2,1,267.38038647409513,6.503548174114164,3.9847657754535524,0.4599075024202678,14.520866630086747,13.369019323704755
2024-01-02 18:00:00,38,116,50.0,光伏,18.0,2,1,0.0,9.809505357458521,3.93020920662312,0.05705817234264888,0.0,0.0
2024-01-03 00:00:00,38,116,50.0,光伏,0.0,3,1,0.0,13.454745897464655,3.302175130223014,0.1612154268686151,0.0,0.0
2024-01-03 06:00:00,38,116,50.0,光伏,6.0,3,1,0.0,12.473174705536769,4.4291862820848475,0.019757059185060988,0.0,0.0
2024-01-03 12:00:00,38,116,50.0,光伏,12.0,3,1,299.64673427077304,11.858164214921564,3.382342613510755,0.3329024162881893,16.212517992828978,14.982336713538652
2024-01-03 18:00:00,38,116,50.0,光伏,18.0,3,1,0.0,7.824444415545259,3.130487693964511,0.21286633612844003,0.0,0.0
2024-01-04 00:00:00,38,116,50.0,光伏,0.0,4,1,0.0,10.859563231622872,3.1969135905069987,0.22775612200091294,0.0,0.0
2024-01-04 06:00:00,38,116,50.0,光伏,6.0,4,1,0.0,14.97362053854068,2.868328240197515,0.2488405095124278,0.0,0.0
2024-01-04 12:00:00,38,116,50.0,光伏,12.0,4,1,267.2873076370763,6.644469760099678,4.098229834786649,0.4669156119708795,12.745122837314987,13.364365381853816
2024-01-04 18:00:00,38,116,50.0,光伏,18.0,4,1,0.0,7.330829114582664,2.7787675170004573,0.1567028644386014,0.0,0.0
2024-01-05 00:00:00,38,116,50.0,光伏,0.0,5,1,0.0,13.448700350231093,5.60918598719949,0.15953506475420207,0.0,0.0
2024-01-05 06:00:00,38,116,50.0,光伏,6.0,5,1,0.0,10.525856612863237,2.160697256923569,0.2893269775059588,0.0,0.0
