datetime,latitude,longitude,capacity_mw,plant_type,hour,day_of_year,month,irradiance,temperature,wind_speed,cloud_cover,actual_power_mw,theoretical_power_mw
2024-01-01 00:00:00,23,113,50.0,光伏,0.0,1,1,0.0,14.10035150792663,2.356550712295672,0.08846538743987832,0.0,0.0
2024-01-01 06:00:00,23,113,50.0,光伏,6.0,1,1,0.0,10.403811718060634,1.3661233189625437,0.22353127867874814,0.0,0.0
2024-01-01 12:00:00,23,113,50.0,光伏,12.0,1,1,433.21320907300077,7.3000917815452695,0.1726527689278572,0.3173640039766979,19.417522331087945,21.66066045365004
2024-01-01 18:00:00,23,113,50.0,光伏,18.0,1,1,0.0,5.860177251523096,2.1452099262174085,0.28593544270138366,0.0,0.0
2024-01-02 00:00:00,23,113,50.0,光伏,0.0,2,1,0.0,13.781337708300926,1.9638114054152358,0.18996425857549845,0.0,0.0
2024-01-02 06:00:00,23,113,50.0,光伏,6.0,2,1,0.0,13.962642964733568,3.2738899673193047,0.0016663509001824007,0.0,0.0
2024-01-02 12:00:00,23,113,50.0,光伏,12.0,2,1,408.87828745042066,9.12268828901558,3.900147036584106,0.38372964186275865,21.70449137875007,20.443914372521032
2024-01-02 18:00:00,23,113,50.0,光伏,18.0,2,1,0.0,8.256157768761055,2.2136146705586377,0.16678967171256417,0.0,0.0
2024-01-03 00:00:00,23,113,50.0,光伏,0.0,3,1,0.0,16.390550294523514,3.103303957946487,0.2496602901081908,0.0,0.0
2024-01-03 06:00:00,23,113,50.0,光伏,6.0,3,1,0.0,13.074427794471298,3.3428834086831523,0.06080628464451516,0.0,0.0
2024-01-03 12:00:00,23,113,50.0,光伏,12.0,3,1,464.07042840535416,6.942574454022183,2.047961183261232,0.24704141338737481,21.751184668337647,23.20352142026771
2024-01-03 18:00:00,23,113,50.0,光伏,18.0,3,1,0.0,6.39065102155451,4.125596862008634,0.2858689480977862,0.0,0.0
2024-01-04 00:00:00,23,113,50.0,光伏,0.0,4,1,0.0,10.961298064761833,4.309015358720877,0.14963814565389535,0.0,0.0
2024-01-04 06:00:00,23,113,50.0,光伏,6.0,4,1,0.0,11.75799137758208,1.9043854305383923,0.02166788819913876,0.0,0.0
2024-01-04 12:00:00,23,113,50.0,光伏,12.0,4,1,315.34364025721493,5.908263509833924,4.1307051257756875,0.6921752994993691,17.123336523010135,15.767182012860747
2024-01-04 18:00:00,23,113,50.0,光伏,18.0,4,1,0.0,7.255453185349222,3.4439903318992013,0.1878122632624141,0.0,0.0
